date,pf_meeting_id,track,race,tip_type,tab,horse,fin,sp,void
2026-04-21,238880,Townsville,1,AI_BEST,6,Tambo's Sister,1,2.7,0
2026-04-21,238880,Townsville,1,DANGER,1,Alberta Bound,4,3.0,0
2026-04-21,238880,Townsville,1,VALUE,8,Persefono,7,51.0,0
2026-04-21,238880,Townsville,2,AI_BEST,2,Golden Octavian,4,2.35,0
2026-04-21,238880,Townsville,2,DANGER,5,Office Politics,5,8.5,0
2026-04-21,238880,Townsville,2,VALUE,4,Coppabella Road,2,3.3,0
2026-04-21,238880,Townsville,3,AI_BEST,3,Breeches,1,3.2,0
2026-04-21,238880,Townsville,3,DANGER,4,Amber Affair,2,2.3,0
2026-04-21,238880,Townsville,3,VALUE,7,Booming Belief,4,7.5,0
2026-04-21,238880,Townsville,4,AI_BEST,1,Krackacan,5,1.9,0
2026-04-21,238880,Townsville,4,DANGER,3,Insta Worthy,2,7.0,0
2026-04-21,238880,Townsville,4,VALUE,4,She's A Sweet Star,8,7.0,0
2026-04-21,238880,Townsville,5,AI_BEST,2,Armour Force,5,5.0,0
2026-04-21,238880,Townsville,5,DANGER,7,Colours Of Autumn,3,1.95,0
2026-04-21,238880,Townsville,5,VALUE,5,Going Nuclear,2,10.0,0
2026-04-21,238880,Townsville,6,AI_BEST,2,Nolan,4,4.6,0
2026-04-21,238880,Townsville,6,DANGER,5,Zipitalist,7,15.0,0
2026-04-21,238880,Townsville,6,VALUE,6,Cifonelli,9,10.0,0
2026-04-21,238880,Townsville,7,AI_BEST,11,Talons,5,7.5,0
2026-04-21,238880,Townsville,7,DANGER,3,Rashford,3,5.0,0
2026-04-21,238880,Townsville,7,VALUE,1,Stadium Of Light,7,17.0,0
2026-04-21,238881,Taree,1,AI_BEST,7,Love You Anyway,2,7.0,0
2026-04-21,238881,Taree,1,DANGER,1,Kissavos,3,4.8,0
2026-04-21,238881,Taree,1,VALUE,2,Redzero,1,1.4,0
2026-04-21,238881,Taree,2,AI_BEST,3,Dark Justice,6,5.5,0
2026-04-21,238881,Taree,2,DANGER,1,Toomuchinformation,1,1.5,0
2026-04-21,238881,Taree,2,VALUE,5,The Comanche,2,15.0,0
2026-04-21,238881,Taree,3,AI_BEST,10,Varazze,3,5.0,0
2026-04-21,238881,Taree,3,DANGER,13,Artie's Magic,11,3.3,0
2026-04-21,238881,Taree,3,VALUE,7,Mini Boo,9,41.0,0
2026-04-21,238881,Taree,4,AI_BEST,9,Fire Island,10,12.0,0
2026-04-21,238881,Taree,4,DANGER,2,Kitsilano,7,16.0,0
2026-04-21,238881,Taree,4,VALUE,4,Optimal Moments,1,1.7,0
2026-04-21,238881,Taree,5,AI_BEST,9,Eddie's Charm,5,13.0,0
2026-04-21,238881,Taree,5,DANGER,8,Dancingontherosso,7,8.0,0
2026-04-21,238881,Taree,5,VALUE,11,Shelley's Lookout,6,26.0,0
2026-04-21,238881,Taree,6,AI_BEST,6,Oakfield Peewee,2,12.0,0
2026-04-21,238881,Taree,6,DANGER,7,Villa Castina,3,2.45,0
2026-04-21,238881,Taree,6,VALUE,2,Talana,4,8.0,0
2026-04-21,238881,Taree,7,AI_BEST,7,Grassburn,6,4.4,0
2026-04-21,238881,Taree,7,DANGER,10,Mr Trackside,5,12.0,0
2026-04-21,238881,Taree,7,VALUE,1,Pixie Hallow,9,15.0,0
2026-04-21,238891,Queanbeyan,1,AI_BEST,5,Sharbino,2,2.5,0
2026-04-21,238891,Queanbeyan,1,DANGER,7,Slay Queen,1,2.9,0
2026-04-21,238891,Queanbeyan,1,VALUE,3,Zaddicted,8,81.0,0
2026-04-21,238891,Queanbeyan,2,AI_BEST,9,Initiate,1,2.05,0
2026-04-21,238891,Queanbeyan,2,DANGER,6,Will The Thinker,3,3.3,0
2026-04-21,238891,Queanbeyan,2,VALUE,7,Closethedoordarcy,10,21.0,0
2026-04-21,238891,Queanbeyan,3,AI_BEST,4,Star Bling,3,2.9,0
2026-04-21,238891,Queanbeyan,3,DANGER,2,Justifiably,2,2.4,0
2026-04-21,238891,Queanbeyan,3,VALUE,8,Big Time Charlie,1,15.0,0
2026-04-21,238891,Queanbeyan,4,AI_BEST,2,Farnanheit,2,2.9,0
2026-04-21,238891,Queanbeyan,4,DANGER,12,Still The Moon,5,2.4,0
2026-04-21,238891,Queanbeyan,4,VALUE,7,Reds Express,3,7.5,0
2026-04-21,238891,Queanbeyan,5,AI_BEST,3,Eternal Ember,6,6.5,0
2026-04-21,238891,Queanbeyan,5,DANGER,4,Royal Memory,2,1.75,0
2026-04-21,238891,Queanbeyan,5,VALUE,1,Spurline,3,20.0,0
2026-04-21,238891,Queanbeyan,6,AI_BEST,7,Rangatira,6,9.5,0
2026-04-21,238891,Queanbeyan,6,DANGER,10,Karuta King,9,26.0,0
2026-04-21,238891,Queanbeyan,6,VALUE,1,Shyamalan,3,4.6,0
2026-04-21,238891,Queanbeyan,7,AI_BEST,8,Zeema,5,3.4,0
2026-04-21,238891,Queanbeyan,7,DANGER,7,She's The Key,2,2.9,0
